symbol,tradingsymbol,name,instrument_token,lot_size,tick_size
ADANIENT.NS,ADANIENT,ADANI ENTERPRISES,6401,1,0.1
ADANIPORTS.NS,ADANIPORTS,ADANI PORT & SEZ,3861249,1,0.1
APOLLOHOSP.NS,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,40193,1,0.5
ASIANPAINT.NS,ASIANPAINT,ASIAN PAINTS,60417,1,0.1
AXISBANK.NS,AXISBANK,AXIS BANK,1510401,1,0.1
BAJAJ-AUTO.NS,BAJAJ-AUTO,BAJAJ AUTO,4267265,1,0.5
BAJFINANCE.NS,BAJFINANCE,BAJAJ FINANCE,81153,1,0.05
BAJAJFINSV.NS,BAJAJFINSV,BAJAJ FINSERV,4268801,1,0.1
BHARTIARTL.NS,BHARTIARTL,BHARTI AIRTEL,2714625,1,0.1
BPCL.NS,BPCL,BHARAT PETROLEUM CORP  LT,134657,1,0.05
BRITANNIA.NS,BRITANNIA,BRITANNIA INDUSTRIES,140033,1,0.5
CIPLA.NS,CIPLA,CIPLA,177665,1,0.1
COALINDIA.NS,COALINDIA,COAL INDIA,5215745,1,0.05
DIVISLAB.NS,DIVISLAB,DIVI S LABORATORIES,2800641,1,0.5
DRREDDY.NS,DRREDDY,DR. REDDY S LABORATORIES,225537,1,0.1
EICHERMOT.NS,EICHERMOT,EICHER MOTORS,232961,1,0.5
GRASIM.NS,GRASIM,GRASIM INDUSTRIES,315393,1,0.1
HCLTECH.NS,HCLTECH,HCL TECHNOLOGIES,1850625,1,0.1
HDFCBANK.NS,HDFCBANK,HDFC BANK,341249,1,0.1
HDFCLIFE.NS,HDFCLIFE,HDFC LIFE INS CO,119553,1,0.05
HEROMOTOCO.NS,HEROMOTOCO,HERO MOTOCORP,345089,1,0.1
HINDALCO.NS,HINDALCO,HINDALCO  INDUSTRIES ,348929,1,0.05
HINDUNILVR.NS,HINDUNILVR,HINDUSTAN UNILEVER,356865,1,0.1
ICICIBANK.NS,ICICIBANK,ICICI BANK,1270529,1,0.1
INDUSINDBK.NS,INDUSINDBK,INDUSIND BANK,1346049,1,0.05
INFY.NS,INFY,INFOSYS,408065,1,0.1
ITC.NS,ITC,ITC,424961,1,0.05
JSWSTEEL.NS,JSWSTEEL,JSW STEEL,3001089,1,0.1
KOTAKBANK.NS,KOTAKBANK,KOTAK MAHINDRA BANK,492033,1,0.1
LT.NS,LT,LARSEN & TOUBRO,2939649,1,0.1
M&M.NS,M&M,MAHINDRA & MAHINDRA,519937,1,0.1
MARUTI.NS,MARUTI,MARUTI SUZUKI INDIA,2815745,1,1.0
NESTLEIND.NS,NESTLEIND,NESTLE INDIA,4598529,1,0.1
NTPC.NS,NTPC,NTPC,2977281,1,0.05
ONGC.NS,ONGC,OIL AND NATURAL GAS CORP.,633601,1,0.01
POWERGRID.NS,POWERGRID,POWER GRID CORP.,3834113,1,0.05
RELIANCE.NS,RELIANCE,RELIANCE INDUSTRIES,738561,1,0.1
SBILIFE.NS,SBILIFE,SBI LIFE INSURANCE CO,5582849,1,0.1
SBIN.NS,SBIN,STATE BANK OF INDIA,779521,1,0.05
SUNPHARMA.NS,SUNPHARMA,SUN PHARMACEUTICAL IND L,857857,1,0.1
TATACONSUM.NS,TATACONSUM,TATA CONSUMER PRODUCT,878593,1,0.1
TATAMOTORS.NS,TATAMOTORS,TATA MOTORS,884737,1,0.05
TATASTEEL.NS,TATASTEEL,TATA STEEL,895745,1,0.01
TECHM.NS,TECHM,TECH MAHINDRA,3465729,1,0.1
TITAN.NS,TITAN,TITAN COMPANY,897537,1,0.1
ULTRACEMCO.NS,ULTRACEMCO,ULTRATECH CEMENT,2952193,1,1.0
UPL.NS,UPL,UPL,2889473,1,0.05
WIPRO.NS,WIPRO,WIPRO,969473,1,0.05
